r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.09,231.0,52.9,81.4097967077673,,
0.17,231.0,27.9,156.08005317784847,,
0.26,231.0,16.4,206.8099248101986,,
0.34,231.0,11.9,229.156350555685,,
0.43,232.0,8.04,243.14685295105093,,
0.51,232.0,6.53,251.81537165153364,,
0.6,232.0,4.75,260.04868524951246,,
0.69,232.0,4.0,266.5211222398705,,
0.77,233.0,5.69,271.50126961029116,,
0.86,233.0,4.83,275.95972622830305,,
0.95,234.0,10.8,279.91459661832573,,
1.03,235.0,10.3,283.96701850743153,,
1.11,235.0,10.6,287.2655811265944,,
1.2,236.0,10.2,291.33006350186383,1.0104824477847671,292.8530089467625
1.29,237.0,10.6,295.05003440094697,1.010066704839218,296.53140640739315
1.38,238.0,14.2,298.28800394920347,1.0096509618936689,299.7239308289206
1.46,238.0,14.1,300.6458032303128,1.0092814126087364,302.0377896645646
1.55,239.0,19.6,302.7939502367905,1.0088656696631875,304.13322396676296
1.63,240.0,17.8,304.3629788591247,1.0084961203782548,305.6531964478982
1.72,241.0,7.14,305.76427047645706,1.0080803774327058,306.9971303494333
1.8,242.0,11.9,306.8111554360434,1.0077108281477734,307.9917679780189
1.89,243.0,10.9,307.73066762999105,1.0072950852022242,308.85108867124814
1.98,244.0,17.6,308.462328656191,1.006879342256675,309.5215191110159
2.07,246.0,11.4,309.09091817780734,1.0064635993111262,310.0882291418257
2.15,247.0,12.9,309.59465386211053,1.0060940500261937,310.5365636845763
2.23,248.0,15.4,310.0816455387194,1.0057245007412612,310.9679102977698
2.32,249.0,17.6,310.64205285183135,1.0054652545408973,311.48976513416284
2.4,251.0,24.0,311.1779756023874,1.005251025333893,311.99390760154637
2.49,252.0,10.1,311.87634280272044,1.0050100174760133,312.65661968742774
2.58,253.0,12.0,312.7698844198399,1.0047690096181334,313.5147986439481
2.67,254.0,6.34,313.9289324034979,1.0045280017602536,314.6388650463642
2.75,256.0,6.22,315.1554587818526,1.0043137725532494,315.8344817662561
2.83,257.0,5.6,316.57031446425924,1.0040995433462452,317.2185476419032
2.92,259.0,8.73,318.3761214350096,1.0038585354883653,318.98976284722636
3.0,260.0,5.19,320.01131011262714,1.0036443062813611,320.5938894347284
3.09,262.0,11.0,321.82586052087237,1.0034032984234813,322.3730300928349
3.18,263.0,16.0,323.46472017825994,1.0031622905656015,323.9757611985722
3.27,264.0,13.1,324.9469392070035,1.0029212827077216,325.42122401681604
3.35,266.0,11.8,326.1291514109096,1.0027070535007174,326.5702776051306
3.43,267.0,12.7,327.15898719124317,1.0025806868521097,327.58086263291676
4.21,280.0,5.52,332.56960098601917,1.0014584402261792,332.81202906854855
4.29,282.0,2.35,332.9454246569548,1.0013433380081351,333.16897872676986
4.38,283.0,5.1,333.24209578023004,1.0012138480128354,333.44428706934275
4.47,285.0,4.61,333.5639016740271,1.001084358017536,333.7447040192592
4.8,290.0,10.8,334.4346514642285,1.0009302193654952,334.5901641020605
5.25,296.0,2.85,336.19351480955135,1.0007319930928895,336.31653796600193
5.32,298.0,1.92,336.4902870812173,1.0007011578949288,336.60823282087034
5.41,299.0,4.29,336.76657405389864,1.0006615126404077,336.8779433117024
5.5,300.0,4.92,336.9450539776478,1.0006218673858864,337.04980526477874
5.58,301.0,2.24,336.97466892928315,1.0005866271596455,337.07349368454
5.67,302.0,4.59,336.7364505069209,1.0005895537880614,336.83569800612884
5.76,303.0,5.07,336.705152173233,1.0006034841658804,336.8067349635966
6.0,306.0,7.89,336.5481732233887,1.0006406318400642,336.6559577013516
6.18,307.0,4.41,336.26675571635093,1.0006684925957023,336.3791328568556
6.27,308.0,3.2,336.1361481602358,1.0006824229735212,336.25082211440497
6.36,309.0,6.66,336.0482228788006,1.0006963533513402,336.16520666993773
6.45,310.0,5.83,336.0131405168554,1.0007102837291593,336.13245166767024
6.53,310.0,3.83,336.0223636902758,1.0007226662872206,336.1437577793784
6.61,311.0,2.41,336.11955090413886,1.000735048845282,336.2430603558225
6.7,312.0,1.25,336.3501612902839,1.0007489792231008,336.4760973550701
6.79,312.0,3.61,336.71506218166127,1.0007938886172314,336.84869279252604
6.87,313.0,13.8,336.68211505810643,1.000840779446627,336.82362302130304
6.96,313.0,4.58,337.0027433122763,1.000893531629697,337.1532709996939
7.05,314.0,3.05,337.26153338321876,1.000946283812767,337.42106821569035
7.2,315.0,1.38,337.4129437351211,1.0010342041178837,337.5873755751628
7.39,316.0,0.75,336.9770873516477,1.0011455698376983,337.170047498767
7.47,316.0,8.57,336.50234189378233,1.0011924606670939,336.70291502125247
7.99,318.0,1.36,332.92358838027684,1.001533710002503,333.1787946834367
8.08,318.0,16.0,332.4780246873468,1.0016080325171832,332.74523504723226
8.16,318.0,5.5,332.0346248510839,1.0016740969746767,332.31243770876506
8.25,319.0,2.94,331.88162784342256,1.001748419489357,332.17163528825654
8.34,319.0,1.74,331.72321504531453,1.001822742004037,332.02540032544385
8.4,319.0,2.2,331.5951997541581,1.001872290347157,331.90547583617683
9.59,319.0,3.23,326.285941775002,1.003000037627526,326.77501029503634
10.8,317.0,4.08,319.55059458558355,1.0043824285170528,320.25003293285994
12.02,312.0,2.62,316.84558731344197,1.0060338613633963,317.80005087728665
13.22,308.0,0.76,312.3901986298546,1.0078728260337608,313.6174846574223
14.42,303.0,1.86,303.6741406507969,1.0098146435098052,305.16072869097775
15.63,298.0,1.34,290.55714033559735,1.0118485975085072,292.27341873775845
16.83,296.0,1.41,277.6216351439491,1.0141834923902135,279.58352519936165
18.03,294.0,1.15,268.66833233561414,1.0167441795274266,270.9083100093696
19.23,294.0,0.59,260.44447200891017,1.0195581380906056,262.97904361774243
20.43,294.0,0.5,252.30147779987337,1.0225646684763634,255.13214819400955
21.64,292.0,1.21,244.65867652711603,1.0260560372095364,247.8255976203659
22.84,290.0,1.21,237.50830111808727,1.030033684162123,241.04854080265613
24.04,287.0,0.81,230.63114815653154,1.034662063903514,234.5941748232836
25.24,283.0,1.08,224.01251058813656,1.0401142521301199,228.46138065601514
