r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
1.74,123.0,5.5,160.46363077034,1.002816515476441,160.68944602883394
2.61,145.0,5.5,185.50582201106252,1.0015773365598915,185.65206692198979
3.5,152.0,6.2,201.16262202506704,1.0019054431829895,201.35418278986117
4.37,157.0,6.6,191.07392182084925,1.003131374369184,191.37284998046965
5.24,161.0,8.8,182.61865895904504,1.0050105066025241,183.07559330430877
6.11,165.0,11.2,171.51649162689867,1.007531853891775,172.1611985221195
7.07,169.0,25.5,162.0689979607451,1.0107321593930216,162.9363521847341
