r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.62,35.1,4.01,71.20472175354666,,
1.23,64.6,4.19,112.64443883299343,,
1.83,80.1,6.32,139.72563186473698,,
2.47,113.0,10.4,159.1161164055986,1.0146386507537775,160.2765078216615
3.08,136.0,7.59,171.24374966695865,1.0121758441701343,172.28311406001484
3.68,150.0,7.75,180.90008955221666,1.0097534114649114,181.78014537636275
4.32,171.0,9.19,190.21,1.007169483246007,190.8906359309385
4.91,192.0,9.16,198.61010069983854,1.0058707304364078,199.19224073492714
5.53,197.0,9.96,213.09009385703504,1.0047165725618052,213.5920301434857
6.17,195.0,12.4,230.24,1.003525183788022,230.64546213989806
6.78,196.0,7.09,253.17066437484416,1.002550427652362,253.49330551921466
7.38,216.0,5.99,275.54207900064915,1.0020296745588086,275.82156762861223
8.0,225.0,5.24,287.96,1.0014915630288035,288.174675224308
8.62,240.0,6.15,290.86,1.0009534514987983,290.99862741571354
9.23,247.0,4.37,295.7360703397541,1.0006728110458711,295.835540858745
9.85,254.0,6.48,302.52658329475776,1.000514854962626,302.604451929652
10.43,257.0,7.41,308.54194803948457,1.0003670895944288,308.59857411253586
11.05,273.0,5.38,313.37088329964547,1.000215593961209,313.40466191415635
11.67,272.0,5.98,316.9943232930205,1.0002609929664596,317.0356872386654
12.19,270.0,20.9,320.3239016995141,1.0002990695515086,320.37179768153374
12.91,279.0,9.4,323.97946169471913,1.0003517909769613,324.0364432094366
14.56,287.0,10.8,327.4628754530809,1.0007677111331947,327.5885497849092
16.63,291.0,10.0,317.20679012278407,1.0015246728486258,317.448516309689
17.77,286.0,9.67,311.0854778031273,1.0020145354068104,311.398666504844
18.49,288.0,6.96,308.31840441335964,1.0023985834611653,308.68794666439527
20.24,289.0,6.63,304.3497317232266,1.0033598351849742,304.86058545554994
22.62,288.0,10.0,299.6502663105775,1.0048645354985852,300.3782117842495
24.89,269.0,8.23,291.30488839015385,1.006540125071041,292.2559211579223
27.06,267.0,7.11,277.95413290685207,1.0082687433159339,279.1009328280256
29.13,272.0,5.36,265.61041131702655,1.0099764254693973,266.93204444019005
31.3,274.0,5.78,254.5351956017085,1.0118693718111815,256.0413260175878
33.46,259.0,5.81,245.1955727577478,1.0140110707704162,246.9073240082943
35.53,272.0,6.69,234.76416293804297,1.0162254158822934,236.66107245166017
37.7,274.0,6.39,224.69732196891002,1.0187556553658652,226.79470596775468
39.87,272.0,5.59,217.75856584759185,1.0214228497379645,220.07871018613918
41.93,266.0,8.82,211.25280826535774,1.0241862767155763,213.792254505413
