r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.51,143.0,33.1,195.69574139464558,1.007746360446406,196.45224406063548
0.69,160.0,15.0,213.4176450062178,1.0069940661789227,214.16267314849765
0.86,178.0,7.92,228.71405050848975,1.0062835660374108,229.4314951656939
1.03,188.0,8.01,242.42266436948506,1.0056245604801817,243.1034688740485
1.2,187.0,8.03,245.13602693198732,1.005007550506251,245.74902600222615
1.38,195.0,5.6,248.24868358160535,1.0043542458279713,248.78856442387286
1.55,199.0,7.52,251.93221092190655,1.0038150979104374,252.41232646161163
1.71,203.0,6.87,258.53466962865934,1.0033200309028922,258.9634855493777
1.89,206.0,9.22,263.10820758767676,1.00278418989129,263.47422460547926
2.06,211.0,12.0,270.433106331307,1.002465941855916,270.76633718388405
2.23,219.0,13.3,275.2798803036648,1.0021476938205423,275.5753302036905
2.41,216.0,9.9,277.0156466700031,1.0018714652737093,277.2747380880256
2.58,214.0,10.5,274.7545495528691,1.0017026695113125,274.9883581678065
2.75,213.0,8.39,274.28712911837476,1.0015338737489157,274.49740942692114
2.92,210.0,13.3,273.9827156957168,1.00144370046375,274.1804188522724
3.09,214.0,6.67,275.4598253829404,1.001395416203339,275.65194893508004
3.26,213.0,9.98,276.5026614700119,1.0013471319429277,276.6888415726093
3.43,212.0,11.2,278.5494842931862,1.0013900466761172,278.7430154545927
3.61,215.0,9.11,278.9803234997049,1.0014464066932658,279.1820100994453
3.78,217.0,10.1,280.9802373833434,1.0015171460222492,281.1933006266965
3.95,219.0,8.05,281.95594992835316,1.00165654464494,282.189389602028
4.12,220.0,8.29,283.04650995905246,1.0017959432676304,283.3005636806966
4.29,218.0,8.42,281.91535502700094,1.0019633952110514,282.19197494401817
4.46,220.0,9.71,280.3560295410106,1.002165245869177,280.6593852872904
4.64,220.0,20.1,276.81309163404825,1.0023789700954275,277.14216107222995
4.81,216.0,23.5,273.04675295633893,1.0026374897272214,273.40659484574724
4.98,220.0,14.6,268.87487219894683,1.0029144971092905,269.26640464535296
5.15,218.0,12.2,265.3001162834272,1.0031915044913593,265.72313229425674
5.32,213.0,23.1,261.62621925181736,1.0035189871853487,262.0861446457111
5.49,215.0,21.2,258.24417844358084,1.0038464698793383,258.74036598586906
5.67,216.0,18.3,254.88821235985003,1.0042016182281737,255.42312255629733
5.84,208.0,31.7,251.99182149426994,1.0045566652699232,252.56529015124514
6.01,212.0,25.3,249.21392778093283,1.0049117123116726,249.8252116464135
6.19,213.0,23.8,246.64670522834882,1.0053031458150585,247.2998421745391
6.35,216.0,19.6,244.3689607949422,1.0056612396324058,245.0597001872463
6.64,210.0,25.0,239.98618564409077,1.0063384610844617,240.74555578458987
8.82,210.0,10.7,212.5465205549129,1.0127437898866958,213.8965571254621
11.07,210.0,10.7,193.00216605002134,1.0217082081694069,195.08578445477542
13.32,206.0,6.25,178.05134905414224,1.0343998249446573,181.08792307082766
