r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.78,14.5,8.1,16.07969216123244,1.0104382572272932,16.16339627846786
2.34,32.6,26.8,30.635681810594654,1.0038701930424339,30.694907563454414
3.91,48.6,11.3,41.59642412515768,1.0011182096634508,41.619674389017106
5.47,58.1,6.1,46.84282762600909,1.0008817203273395,46.86347421253705
7.04,65.9,8.71,47.52295550573428,1.0020515992616401,47.571679558194546
8.6,72.5,12.2,48.72040434971778,1.004006968277436,48.817917321875306
10.17,78.6,28.4,49.13347127977016,1.0066685643504343,49.2970239249922
17.97,97.1,10.0,48.90602928065209,1.0314009605020944,49.66794245696736
