galaxy,N,chi2_over_N
CamB,8,0.2258438303540729
D631-7,14,3.056984274732993
DDO064,13,1.4141005426160012
DDO154,7,2.242392117564369
DDO161,24,1.5731593638496306
DDO168,9,2.5757886417929843
DDO170,8,3.770491394682117
ESO079-G014,13,2.569403095859478
ESO116-G012,14,5.514495024621953
ESO444-G084,5,3.9000751733379673
ESO563-G021,27,3.371104280151483
F563-1,17,8.811190619350898
F563-V2,9,6.020617367468073
F565-V2,7,6.028266772447123
F568-1,10,9.763162418109498
F568-3,16,4.3557059648253045
F568-V1,14,8.365848365942835
F571-8,9,7.077823987183044
F571-V1,7,5.4558806563712094
F574-1,12,7.233694061387134
F579-V1,13,4.32860558116422
F583-1,23,5.619362032137451
F583-4,10,2.2177601330955605
IC2574,33,2.0460888319942323
IC4202,30,1.002771137406164
KK98-251,14,0.5374170068308791
NGC0024,25,3.613087930272099
NGC0055,19,2.819602813471837
NGC0100,20,3.2964966889428062
NGC0247,25,4.571911726202894
NGC0289,7,1.2248811408251978
NGC0300,25,5.4019809472619205
NGC0801,6,5.51309247221095
NGC0891,11,13.4641056904834
NGC1003,18,3.7675069388482822
NGC1090,20,1.347500507632907
NGC1705,5,2.985692435674727
NGC2366,18,1.5290471672128225
NGC2403,45,0.6898350707114392
NGC2683,7,1.0894905397695394
NGC2841,34,2.572112555833886
NGC2903,18,11.206661575554792
NGC2915,7,1.9985220256576388
NGC2955,21,2.6879173286914635
NGC2976,25,0.08069317486038359
NGC2998,7,0.4235936087419603
NGC3109,24,5.52581180842894
NGC3198,30,1.340657388808773
NGC3521,38,3.8733136802250656
NGC3726,11,2.578072233851017
NGC3741,7,0.9829616913028483
NGC3769,7,2.3916983044994007
NGC3877,12,1.485848790282738
NGC3893,9,2.185458821648303
NGC3917,16,2.376349688014944
NGC3949,7,2.9330955350979666
NGC3953,8,0.552246522168051
NGC3972,10,1.6108904933051786
NGC3992,9,3.333273316664979
NGC4010,11,1.2878429362943702
NGC4013,30,2.176191128194222
NGC4051,7,2.0229427358713212
NGC4085,7,5.148410404689576
NGC4088,12,6.004815094523548
NGC4100,24,1.8171982452510385
NGC4138,3,1.6081522838667333
NGC4157,17,2.944886429692362
NGC4183,22,4.395505730590914
NGC4214,9,3.157911398501372
NGC4217,18,8.801623675185615
NGC4559,24,1.2435868919404138
NGC5005,17,2.711589012359874
NGC5033,8,3.8378337641606075
NGC5055,12,12.383637111238947
NGC5371,18,2.009413338096601
NGC5585,21,3.5994498044965573
NGC5907,16,1.9964252334859938
NGC5985,33,6.411813389764446
NGC6015,27,1.2585907989419245
NGC6195,21,2.195266687922259
NGC6503,10,1.488192924736116
NGC6674,9,3.6063415692436607
NGC6946,56,1.4478295248046453
NGC7331,19,11.024762387446687
NGC7793,37,0.48493795244420224
NGC7814,15,3.082645677174452
UGC00128,21,16.536332176099705
UGC00191,8,3.6892466543232896
UGC00731,12,7.232505545832093
UGC01230,8,5.637266718298576
UGC01281,23,2.176482023226519
UGC02259,8,8.684352230852404
UGC02455,8,9.547558338084734
UGC02487,11,4.92537712664294
UGC02885,11,1.6012220926030898
UGC02916,39,2.1606532563318672
UGC02953,76,1.812875776733666
UGC03205,42,1.0610272944105634
UGC03546,19,6.3035804702521725
UGC03580,34,7.185139996612762
UGC04278,22,4.164730368589428
UGC04305,21,0.19713656416796263
UGC04325,8,6.764096513323988
UGC04483,8,0.436096036998068
UGC04499,9,2.390855378670066
UGC05005,8,1.3543032563898543
UGC05253,57,1.6887048815165968
UGC05716,7,5.274646071058916
UGC05721,16,4.645018075158818
UGC05750,10,1.7725137462919889
UGC05764,10,5.362813874095562
UGC05829,11,2.4625260125888975
UGC05918,8,2.372582433168848
UGC05986,15,6.342542931134079
UGC06399,9,4.401334307143718
UGC06446,17,7.512647783205663
UGC06614,12,2.734057296903522
UGC06628,7,0.3288597006663396
UGC06667,8,13.03475997776902
UGC06786,35,2.2258210550400195
UGC06787,56,3.588468919568835
UGC06818,8,1.9017998535618659
UGC06917,11,4.147533951266565
UGC06930,10,3.9107842412831673
UGC06973,5,36.55872190458557
UGC06983,9,5.6227937902436
UGC07089,12,0.9382468805451185
UGC07125,10,0.9774329435668442
UGC07151,11,1.218442268610287
UGC07261,7,2.224246219587703
UGC07323,9,0.6631860737892047
UGC07399,6,9.759848941629688
UGC07524,27,4.806848607077194
UGC07559,7,0.36108595246416675
UGC07577,9,0.027766625105144438
UGC07603,12,3.7832276879427043
UGC07608,8,4.5510231429027215
UGC07690,7,0.9063588473303742
UGC07866,7,0.4217309513314231
UGC08286,17,7.977580026982286
UGC08490,14,3.7920520324719704
UGC08550,10,3.7987662054644344
UGC08699,36,2.260209550338326
UGC08837,8,0.44007074573728694
UGC09037,20,4.155109854435583
UGC09133,40,1.6706403784759467
UGC10310,7,2.4463708100409858
UGC11455,33,1.987862673366994
UGC11557,11,2.263083922796779
UGC11820,7,6.400600563519688
UGC11914,60,0.33669404117020085
UGC12506,30,6.955344256822263
UGC12632,14,4.607831309206959
UGC12732,14,7.600299801592379
UGCA442,8,4.343332925843593
UGCA444,32,1.5486003760128595
