r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.28,107.0,30.2,92.49274403973534,,
0.55,121.0,15.6,146.16967811416976,,
0.83,134.0,8.69,166.29665811434697,1.0110070057405829,167.20936757341948
1.39,157.0,12.5,181.4504475056482,1.0087418829046098,182.24183100615554
1.65,168.0,11.7,187.28243083642417,1.0077897208554827,188.01045473967218
3.04,207.0,8.04,194.52658738588923,1.0035035199370126,194.8670533279153
3.32,213.0,6.53,194.6626612887022,1.0029453895584683,194.9491291889001
3.59,218.0,11.2,196.11283078880894,1.0024715433729332,196.35503191215938
3.87,222.0,6.05,198.9432569855033,1.0020271814753952,199.1448019377755
4.15,226.0,5.41,204.07162321106773,1.0016651293346186,204.2414553654341
4.43,229.0,5.96,209.5470147723417,1.0013202594741621,209.68529736094004
4.7,232.0,7.41,213.8659358102641,1.0011084419083776,213.9844319658454
4.97,234.0,6.1,217.02171988075295,1.000896624342593,217.11899156005765
5.25,235.0,3.89,219.7845283453774,1.0007579988762487,219.86781077912048
5.52,236.0,9.03,223.36651002332465,1.0006430996195543,223.43832193843505
5.8,237.0,10.0,227.2835290996688,1.0005660149410853,227.34784293697453
6.08,237.0,7.36,230.72668289558536,1.0005265991885213,230.78742514192493
6.36,237.0,10.2,233.86977615758732,1.0005073481564144,233.92909533455992
6.63,236.0,10.4,235.73587529266732,1.0005376548086433,235.7992390403163
6.91,236.0,5.83,236.99088674461726,1.0005694270137586,237.05835164836287
7.19,235.0,5.43,237.59243527519976,1.0006584942945602,237.67064903302008
7.27,234.0,8.36,237.6025029329447,1.000683942089075,237.68374222068968
7.46,234.0,7.88,237.53220623738585,1.0007443806010474,237.62059697458184
8.02,231.0,8.17,237.02892840326473,1.0009945555836857,237.14676833307533
8.29,229.0,5.82,236.5169283582044,1.0011361004135864,236.65124371016574
8.56,228.0,7.21,235.874056648882,1.001295395263727,236.02678227278622
8.84,226.0,18.2,234.7997165671202,1.0014674920595,234.97193676715688
9.12,224.0,9.11,233.68868457843652,1.0016733082093767,233.88411945408487
9.69,221.0,5.56,230.74705220218956,1.0021267495740211,230.9922924777692
12.11,216.0,3.21,213.76609600214906,1.0045307628115705,214.24981046154662
14.58,220.0,1.89,197.26292454488248,1.0076293600498663,198.0139896682028
14.68,220.0,7.66,196.61403713875566,1.0077696869030275,197.37637397894767
15.2,221.0,9.52,193.51343364221515,1.0085104639774969,194.3351336371364
15.5,221.0,13.6,192.01753513676817,1.0089575556409114,192.87562170874455
15.71,221.0,8.15,191.06110253005448,1.009270298347279,191.94465626371309
16.02,221.0,4.11,189.65468356990291,1.009724865146243,190.57463549022947
16.32,221.0,5.37,188.27828233760792,1.010164768500079,189.23276552183046
16.53,221.0,5.06,187.42599899693744,1.010480835472397,188.4056293807177
16.84,221.0,11.4,186.1894736551989,1.0109479349837096,187.20589442687498
16.94,221.0,2.56,185.8465159748764,1.0110986122454233,186.87498940119107
19.4,218.0,1.7,176.1173089165287,1.0153733912089262,177.46590570324116
21.77,216.0,1.13,168.06938626650603,1.0201219719725758,169.75190824603305
24.23,215.0,1.77,159.40629253577163,1.0262676870118763,161.48633887599283
26.69,212.0,2.47,151.6578283505339,1.034062289697072,154.2191066751086
29.06,208.0,1.44,144.7275903205743,1.0442341876829533,147.89390802350474
