galaxy,N,chi2_over_N
CamB,8,0.22573933115622452
D631-7,14,3.0565898639726004
DDO064,13,1.414141428479159
DDO154,7,2.2423800377975582
DDO161,25,1.7069903806218858
DDO168,9,2.5760114733345705
DDO170,8,3.770401883131388
ESO079-G014,13,2.569311735175474
ESO116-G012,14,5.51391274925347
ESO444-G084,5,3.901154156665176
ESO563-G021,27,3.3701667509922855
F563-1,17,8.81134540266089
F563-V2,9,6.021081538272899
F565-V2,7,6.028794116397935
F568-1,10,9.766245007903935
F568-3,16,4.356914625916549
F568-V1,14,8.366790551529835
F571-8,9,7.07547375872214
F571-V1,7,5.4551073779218076
F574-1,12,7.2357372763555174
F579-V1,13,4.330498413782099
F583-1,23,5.619544356932326
F583-4,10,2.2182098481410466
IC2574,33,2.0460945491726035
