r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.63,262.0,73.6,397.97377313084337,1.0170078517136263,401.3438435912948
0.79,250.0,55.5,379.24370383699187,1.018122644187987,382.6647233036329
0.95,241.0,42.9,361.7985854035364,1.0192396734768068,365.26244721053985
1.11,234.0,31.9,346.49261882470165,1.0202198843435724,349.97810829007386
1.27,228.0,28.8,334.1647654975012,1.0211493265937082,337.67995664153216
1.43,225.0,24.2,323.68898900024385,1.022083089346647,327.2434989500457
1.59,222.0,12.2,315.622551317234,1.0230491180415822,319.23924038856603
1.9,221.0,6.34,305.49028282418413,1.0248098722352976,309.25665260345806
2.06,221.0,12.2,302.3958612481328,1.0257239288446511,306.2605699952554
2.22,222.0,16.9,300.2213864800441,1.0266148802056907,304.19032977356017
2.38,222.0,26.0,298.74076789082534,1.0275407888212895,302.8266053652443
2.79,221.0,13.1,294.67070621288434,1.029953665593052,299.05137785707353
2.86,221.0,11.8,293.886450181018,1.0303471719017099,298.312433437234
3.02,220.0,22.9,291.8598449598711,1.0312420047887525,296.38392472423084
4.17,205.0,8.45,270.24391519514364,1.0378950679205388,275.3167588882284
5.56,190.0,13.3,242.86491224547032,1.046484358546606,248.4455061272712
6.96,190.0,8.87,227.86842058521404,1.0564003416871806,234.20621128870815
8.35,198.0,3.19,217.7474015918445,1.0681956876252816,225.04967567349013
9.73,204.0,2.56,212.53623714557477,1.0824742069582984,221.12699582806178
