r_kpc,v_obs,v_err,v_baryon,K_ring,v_model
0.87,42.2,7.3,94.8,1.0064567302472314,95.10555658320432
1.74,79.9,5.9,129.83322109537298,1.0033864057680844,130.05286928246755
2.71,112.0,6.2,143.20810032955538,1.0015879951287887,143.32176210673128
3.58,127.0,4.9,149.9307173330402,1.001226599936713,150.02264165728238
4.45,130.0,4.9,157.0288030903885,1.0016709964459791,157.15994561452288
5.32,133.0,4.5,151.7917840332605,1.0027076722705413,151.99714631605582
6.2,136.0,7.4,141.38778447942383,1.004186124896407,141.68340888468177
