r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.87,47.8,8.2,155.09683878145293,1.0042334616800226,155.42479031730014
1.74,98.9,8.2,221.59797517125466,1.0017342307946637,221.79004295115072
2.61,146.0,7.7,265.3417705526214,1.0010997006018973,265.487628715955
3.5,164.0,6.4,282.45307734206045,1.0005057205466572,282.5244894768949
4.37,174.0,5.95,267.8266355312705,1.0001522355455443,267.84702112243286
5.24,175.0,6.0,252.57150472687928,1.000076224300562,252.58113058659652
6.11,184.0,6.4,241.4189572092465,1.000246940917032,241.44876347860432
6.98,185.0,6.4,232.1071829995789,1.0006362993167635,232.18101607744163
7.85,188.0,6.65,226.30387645818178,1.0011637553481907,226.43551934256283
8.72,190.0,7.35,214.35561550843494,1.001878556054321,214.55686055989815
9.6,191.0,6.4,202.895067214558,1.0026832004774568,203.1670889352056
10.47,191.0,5.55,193.92178294353627,1.0035741087587646,194.26802261638298
11.35,189.0,5.95,186.4135644206183,1.00460062520273,186.84188182526287
12.19,186.0,6.85,179.86236599133238,1.0055870899037769,180.36411973624465
13.12,183.0,6.4,173.38110075783922,1.0068163489179953,173.97101024712015
13.94,179.0,6.85,167.96668270820854,1.008000898223405,168.63728618962986
14.86,177.0,7.25,162.50788073198174,1.0093179641985068,163.2632465015275
15.79,177.0,8.55,157.72768495099393,1.0107698027663337,158.5747583842346
16.72,178.0,12.0,153.66406020927602,1.0123350794385317,154.60888471266043
