r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.49,25.0,2.04,17.379815879346936,1.0056528055103398,17.428869014564373
0.97,42.5,2.7,27.012959852633696,1.0005042079239514,27.019769068630232
1.47,48.0,2.15,30.659944553113593,1.0003092588456095,30.664685116156132
1.95,49.2,2.08,30.61823312995053,1.0018738213903398,30.646906254245216
2.44,50.4,2.06,27.868952258741267,1.0044100104467164,27.930335842927843
2.92,51.6,2.04,25.197341129571587,1.0075750445397906,25.29259656952169
3.41,53.2,2.0,24.24608834430824,1.0115499052858563,24.385706369923575
3.89,55.1,2.05,23.9336290603828,1.0165222288305866,24.130537498937237
4.39,57.8,2.24,25.287255683446556,1.0229634745648526,25.57594936423993
4.88,57.3,2.0,26.842550176911285,1.0319774376016682,27.268350945452276
5.36,57.5,2.0,26.984930980085906,1.0393063508056002,27.51015910569952
