r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
1.74,121.0,14.8,169.0,1.0100376592047697,169.84606437756347
3.5,116.0,7.8,138.74,1.0027675914606533,138.9318551671635
5.24,140.0,7.0,151.38255678908322,1.0004855451060337,151.41930385882847
6.98,160.0,6.6,182.10500761923052,1.0001222935657605,182.11614241417482
8.72,161.0,5.2,197.78247369269096,1.0007205385723335,197.85371581244155
10.47,154.0,7.4,184.85818158794055,1.001946710170502,185.03802675499128
12.19,153.0,9.8,173.56022873919014,1.003536560553244,173.86686100185722
