r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
1.74,96.4,12.1,148.01974530446944,1.0103104252756505,148.78086173857707
3.5,157.0,10.5,223.45501605468607,1.0029643335915666,223.78596857790487
5.24,192.0,8.4,242.04169165662347,1.0005753263512185,242.11130812666758
6.98,201.0,6.9,249.95191117492982,1.0000983211434091,249.96419865175957
8.72,201.0,7.3,254.82678999665637,1.0005875355820169,254.90163890735826
10.47,194.0,6.4,236.26904007931296,1.0016984683349208,236.46960269467922
12.19,190.0,6.0,216.51426142404569,1.0031767635947175,216.85789604067543
13.94,186.0,6.4,200.76317814778687,1.005035010327543,201.26796588041515
15.68,184.0,6.4,187.18058499748312,1.0070509497858302,187.8393263020528
17.42,182.0,7.3,178.4644572456936,1.0093388876874445,179.29585044579738
19.16,181.0,6.6,169.2039024372665,1.0118734601945263,170.2054561333301
20.9,183.0,6.5,160.23210695737606,1.0147321897117738,161.40807653984209
22.65,185.0,6.5,155.37222821341015,1.0179176599637427,156.75800169478487
24.39,186.0,9.1,148.94688281397498,1.0217400468514406,150.55723370198243
26.13,186.0,11.4,142.9520678409375,1.0258058453409222,144.78481870941621
27.87,184.0,13.6,137.6566522184816,1.0311795559819543,139.78621656210214
29.61,185.0,13.6,133.0775987910813,1.0376773829451815,135.56142689993422
