r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.87,47.8,8.2,155.09683878145293,1.004276187711923,155.4280966271228
1.74,98.9,8.2,221.59797517125466,1.001697320537157,221.7859568359135
2.61,146.0,7.7,265.3417705526214,1.001097023468338,265.487273733172
3.5,164.0,6.4,282.45307734206045,1.0005070754326595,282.52468077432513
4.37,174.0,5.95,267.8266355312705,1.0001525965594076,267.8470694633132
5.24,175.0,6.0,252.57150472687928,1.0000762658453575,252.58113583291228
6.11,184.0,6.4,241.4189572092465,1.0002469378854888,241.44876311271346
6.98,185.0,6.4,232.1071829995789,1.0006362946190446,232.1810155324279
7.85,188.0,6.65,226.30387645818178,1.0011637519817655,226.43551896186673
8.72,190.0,7.35,214.35561550843494,1.0018785535599168,214.55686029280415
9.6,191.0,6.4,202.895067214558,1.002683198841176,203.16708876943122
10.47,191.0,5.55,193.92178294353627,1.003574107850457,194.26802252846966
11.35,189.0,5.95,186.4135644206183,1.0046006244718204,186.84188175729332
12.19,186.0,6.85,179.86236599133238,1.0055870890969631,180.36411966388877
13.12,183.0,6.4,173.38110075783922,1.006816348109683,173.9710101772847
13.94,179.0,6.85,167.96668270820854,1.0080008979215604,168.63728616438073
14.86,177.0,7.25,162.50788073198174,1.0093179638007632,163.2632464693588
15.79,177.0,8.55,157.72768495099393,1.0107698025006944,158.5747583633972
16.72,178.0,12.0,153.66406020927602,1.0123350792445347,154.60888469784632
