r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.34,35.5,2.1,42.03134306681146,1.0216065154863059,42.48299189744445
0.67,62.4,4.2,62.37163217360918,1.0152439415128378,62.84522888632073
1.0,90.7,3.8,80.55656646108994,1.0100344658569742,80.95972866411671
1.32,104.0,2.0,86.95633674436843,1.0064698946288069,87.23718238435252
1.65,105.0,2.4,92.40087553697745,1.0040585129135724,92.5881907474186
1.98,108.0,2.0,98.25408948232129,1.0026296914468384,98.38319363139261
2.31,116.0,2.3,105.29042739014787,1.0015664473481043,105.37286107615583
2.63,130.0,3.3,112.61435476883042,1.0008932448917305,112.66463964072706
2.96,141.0,2.2,121.26337493241725,1.00040400182039,121.28786777098888
3.28,146.0,1.6,129.622290135609,1.0001742790890247,129.63358487084247
3.61,150.0,1.4,137.51253215616384,1.0000890222714915,137.51865285893268
3.94,152.0,1.1,143.79205332701804,1.0001307970932976,143.80145681084824
4.27,155.0,1.3,148.26468898561112,1.000278848610832,148.28535924602275
4.6,152.0,1.8,150.04488828347334,1.000500117166598,150.0824036057409
4.94,150.0,2.4,150.04030191918437,1.0008129061340727,150.10127387147716
5.3,147.0,5.5,148.24142909456856,1.0012304274526491,148.33260122000758
5.63,145.0,3.8,146.54273813464795,1.001687289782455,146.6663160610488
5.96,152.0,4.1,146.58814174413973,1.0021471502244286,146.74543073935945
6.27,149.0,1.4,146.33499000580824,1.0026217678644929,146.52669262523895
8.24,149.0,4.0,139.60269803983016,1.0065880647134409,140.06179893895063
10.3,146.0,4.0,129.0996982955421,1.0119482301630451,129.86866462390617
11.13,149.0,3.2,126.35197188805563,1.0145851776162935,127.27006932888933
11.95,152.0,2.8,124.19926650347014,1.017242390563714,125.26543644601927
12.72,153.0,2.4,121.46296307928603,1.020342951645757,122.69220056649034
13.58,156.0,2.2,118.21809421573332,1.0239382031310702,119.62469052816098
14.43,158.0,2.8,115.26074657054758,1.0288280551959452,116.91031416325899
15.29,158.0,3.1,112.37612557834515,1.0342895870617288,114.28655214764761
16.02,159.0,3.8,109.95498033286168,1.040542754276387,112.161774059742
16.88,161.0,3.6,107.02304471467815,1.0400705627876625,109.14622121438136
17.73,163.0,4.0,104.3231307045566,1.0392877939430976,106.35270123842884
18.59,162.0,4.8,101.7283067783987,1.04180629289027,103.83297658272551
19.32,164.0,5.7,99.78641641025095,1.0454866263634481,102.03065323348794
20.18,165.0,7.0,97.7684739576107,1.0504108907739205,100.20247400220694
21.04,166.0,6.3,95.75813699106725,1.0587011331010745,98.52861478305265
21.89,163.0,7.0,93.82427191297569,1.0713650248528435,97.1144679519454
22.63,159.0,8.5,92.37286398071677,1.0885274530812987,96.37493590747358
23.48,155.0,9.1,90.8207399221125,1.1347013140812479,96.74439536756998
24.34,154.0,8.0,89.24048912909431,,
25.19,149.0,5.4,87.9238818524296,,
25.93,153.0,3.1,87.92047543092565,,
26.78,156.0,3.0,84.75266839457034,,
27.64,151.0,9.4,82.73337234755996,,
28.37,158.0,7.7,81.15792321147701,,
29.23,152.0,3.4,79.66832494787373,,
