r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.26,18.3,1.8,9.493376638478008,1.0078100544599675,9.530376430664267
0.77,35.3,3.0,18.765569535721532,1.0001006131717918,18.766513543712954
1.29,47.8,4.63,21.954819516452417,1.002637245711807,21.983750581241942
1.81,52.8,1.26,23.4251253998778,1.0088870489686979,23.528985276598988
2.32,58.0,3.11,23.545838273461406,1.0191701179358146,23.77045514897395
3.39,63.1,1.35,20.045273757172787,1.0425964409669557,20.467750333982856
4.44,62.7,7.36,16.779851012449424,,
