r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
2.89,189.0,10.0,222.856756011569,1.0012993647183044,223.0014951126105
5.77,212.0,5.0,238.81344350768867,1.000694525962817,238.89636018163478
8.66,206.0,5.0,205.3138022637543,1.0044187143497725,205.76691379500303
11.54,200.0,5.0,191.9199512817779,1.0099588445723393,192.8732342449716
14.43,172.0,12.0,166.49890329969145,1.0171437566297565,167.92004658863502
17.31,190.0,10.0,150.1313458275786,1.0267763203443034,152.12805052675566
20.2,169.0,10.0,137.24746300023182,1.0438476320992454,140.22417079325356
23.08,150.0,10.0,127.01034170491788,1.043412508171113,129.73797163748782
28.85,160.0,10.0,112.4125299955481,1.1069831858853478,118.2728969605767
31.74,155.0,10.0,106.83666692666895,,
34.62,151.0,12.0,102.08162910142059,,
