galaxy,N,chi2_over_N
CamB,8,0.22660050335697518
D631-7,13,2.6938548446157378
DDO064,12,1.4957757339389797
DDO154,6,1.849493564216542
DDO161,23,1.6399316355684648
DDO168,9,2.573349109111911
DDO170,8,3.769528598567857
ESO079-G014,12,2.7546488317389657
ESO116-G012,13,5.923455905619077
ESO444-G084,5,3.8922781817256658
ESO563-G021,26,3.4287969561758467
F563-1,16,9.355710188514362
F563-V2,8,6.583370541104086
F565-V2,6,6.968993612844643
F568-1,9,10.43371321029753
F568-3,14,4.9347279564195095
F568-V1,13,8.989115889071968
F571-8,9,7.08697145098681
F571-V1,6,4.799568094370686
F574-1,11,7.707327360705123
