r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.52,7.31,2.12,11.776459569836767,1.0155474783815244,11.867653602938605
1.05,14.6,2.05,17.217026456389036,1.0057221496360236,17.266215390988496
1.57,21.0,2.05,20.769133347349857,1.0020800972143344,20.790723034230286
2.09,28.1,2.06,26.94721506946497,1.0005263381167935,26.954305809772233
2.63,35.3,2.5,30.75746576036459,1.000089252223123,30.758838315837735
3.15,43.0,3.38,32.674199301589624,1.0002907819358515,32.67894948976016
3.68,46.6,3.15,33.590095266313256,1.0009384969422155,33.60585367072482
4.2,48.0,3.0,34.53778510559124,1.0018632202339919,34.5699458819335
