r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.61,47.3,2.77,32.02893223321689,1.002072757575131,32.06210915614165
1.22,70.4,3.27,39.888054602850715,1.0002712738932367,39.89346452991547
1.84,83.7,2.5,39.8540763285263,1.0029852753131567,39.91351969298043
2.45,89.1,2.45,40.60332252414819,1.0076752595207237,40.75884519424709
3.07,91.7,2.48,41.31105905202625,1.0140973075455917,41.60122733535171
3.68,95.1,3.01,40.74000490917987,1.0234184428957593,41.21427803273218
4.3,96.9,3.62,40.091385608382254,1.0394340102757076,40.874224663584044
4.91,100.0,3.9,40.19807458075573,1.0382570486748322,40.95978758183861
5.52,103.0,4.82,40.57416049655248,1.0530369816983056,41.63622574253227
6.13,106.0,4.97,40.21075726717914,1.1034424629589654,42.2393375370716
