r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.62,29.9,1.42,21.87501085714016,1.0157661684033543,22.046779025887574
0.87,34.4,2.31,28.50307001008839,1.0115885614160691,28.667749074673623
1.12,46.3,2.05,32.17615576789745,1.009571190946302,32.329771138111404
1.37,49.8,1.87,34.693428772607646,1.0067173566724377,34.80975781129585
1.62,57.6,2.76,36.196796819608224,1.0048209130170436,36.28394271967044
2.3,71.3,7.5,40.93574477153188,1.0018502142497223,40.9735972199879
4.97,76.65,1.09,47.96469534980911,1.0006650690665728,47.98064261632378
7.45,81.0,0.63,49.6538749746684,1.0043311008778717,49.76128676824414
9.98,83.85,1.04,46.44568871273199,1.009970079873175,46.67664808276803
