r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.95,46.8,5.66,28.0072704846438,1.004953603173428,28.07655324278925
1.9,63.0,5.66,51.25967225802366,1.0002747775216263,51.266714277160965
2.86,66.8,5.66,51.47776704558969,1.00059782332631,51.49315205151749
3.81,69.6,5.66,51.01135559853316,1.0027025726880947,51.080240036847286
4.76,73.4,5.66,47.750963341067795,1.005706205251851,47.88700794143369
5.72,74.7,5.66,45.78508163146594,1.0094911186128848,46.00184433619778
6.67,76.1,5.66,46.03186722261003,1.0139365459865992,46.351519979497034
