r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.63,14.8,5.06,7.808200817089684,1.0173293646327288,7.8755658020823
1.26,27.2,5.06,13.5836261727125,1.0080085369269727,13.637910191456266
1.88,34.1,5.06,17.1740298124814,1.0037225606441842,17.205965802915227
2.52,38.8,5.06,19.2803137941269,1.001600053919903,19.295732399773595
3.14,42.8,5.06,23.222801295278742,1.0005036511356598,23.228648654236963
3.77,47.9,5.06,27.36384658632627,1.00010829647558,27.365328250284417
4.4,51.9,5.06,29.814845295590583,1.0001564683263682,29.817177743827745
5.03,57.6,5.06,33.74741471579712,1.0005269601637796,33.75630531629619
5.65,60.7,5.06,37.52006929631128,1.0010955254128435,37.5406157652598
6.29,65.6,5.06,39.398706831569996,1.0019141069598112,39.436395474645416
6.91,68.6,5.06,40.076498100507735,1.002868865196855,40.133943964211944
