r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
0.91,33.1,3.9,31.52,1.0103088030406633,31.68205017091619
1.36,46.7,2.7,37.5,1.0052776286755791,37.598825318419635
1.82,53.9,4.7,42.04,1.0026073977453729,42.09477182086985
2.27,58.8,2.5,46.24851565185633,1.0011303395660753,46.27464653330629
2.72,65.6,2.6,48.932779401951,1.0003894576394128,48.94230709676082
3.17,70.8,2.7,50.480419966557335,1.0001044722664356,50.483056799632415
3.63,82.1,4.9,51.177405170641464,1.0001503450263716,51.181252160217966
4.08,84.1,6.6,51.47697155039329,1.0004205498013303,51.487794727670945
4.54,83.4,6.2,51.799151537452815,1.00090337035099,51.822543164672425
4.99,81.5,2.7,51.50248537692138,1.0015173155755719,51.541543328349206
5.45,80.8,4.0,50.89250828953118,1.0022419163160676,50.94952472325379
5.9,82.8,12.4,50.53640272120681,1.0031079309079012,50.61487362196762
6.36,88.2,11.7,51.20557098597769,1.0040166346119224,51.30830496252165
6.81,88.5,8.5,51.959603539673004,1.0050297769011207,52.09011224493143
7.26,88.4,8.9,52.38436885178631,1.0061099492290106,52.544158064519465
7.71,88.2,10.8,52.05041594454361,1.0072632733759663,52.2391021447353
8.17,89.5,3.1,50.88195849218071,1.0084991249645472,51.097727063013544
8.62,89.7,9.5,49.48285056461481,1.0098003834058402,49.72473482372056
9.07,93.7,7.3,48.335640059897834,1.0111999638404159,48.60556508712897
9.53,97.0,5.7,47.357530552173,1.0127860274280547,47.65932626647251
9.96,96.2,1.5,46.003069462808675,1.0141771330041938,46.328017624966805
10.45,94.8,2.1,44.57645118221055,1.016121212606764,44.934327820969976
10.93,92.5,13.9,43.25441942738337,1.0179704293519611,43.641339133324244
11.32,92.8,10.6,42.18011142706951,1.0197411517798525,42.594418685254006
11.8,93.5,12.1,41.36379697271516,1.0222253552700635,41.82093346742373
