r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
1.74,170.0,4.7,357.2829861608302,1.0007202536968696,357.41163019671956
2.61,174.0,4.2,304.339186763716,1.0044859954456213,305.0210550078378
3.5,170.0,4.2,269.4453406537215,1.0101946104321657,270.8153030894467
4.37,170.0,4.3,240.08091927514775,1.017397518830569,242.1603203251367
5.32,171.0,4.8,219.24542549389713,1.0285478031176962,222.35289134609567
6.28,174.0,4.9,202.07898802201083,1.0487447114618087,206.94553005789047
6.81,177.0,10.1,193.41644707728452,1.042323896503274,197.467100213994
7.33,178.0,6.3,185.57758215905284,1.0483402666451183,190.01008217529312
7.85,180.0,7.7,178.83629301682586,1.0582281633963293,183.9692834690117
