r_kpc,v_obs,v_err,v_baryon,w_ring,v_model
1.74,84.9,11.3,137.12,1.0075562829399924,137.6370837888331
3.5,136.0,9.9,180.27,1.0013984941073855,180.3960092259714
5.24,162.0,8.0,241.53337243536348,1.0001003930112693,241.54549626237466
6.98,179.0,6.5,266.0199325238618,1.0006262555636103,266.10321771783583
8.72,182.0,6.1,247.18580076533524,1.0020746384714354,247.44207849922316
10.47,179.0,7.0,235.3753226232521,1.0042188404808952,235.87130552528646
12.19,174.0,6.2,225.54851761871547,1.006673174929646,226.2998286519275
13.94,171.0,7.2,206.5361714083032,1.0095454600875498,207.5195716204777
15.68,168.0,6.1,192.1140338444852,1.0129049027069092,193.34966665069754
17.42,165.0,5.6,181.09665319933444,1.0166275612363123,182.59604393777394
19.28,171.0,8.6,170.92076205072337,1.0212734440560034,172.7292312091223
21.48,174.0,7.6,160.49922741247073,1.0281830855034397,162.7451945187162
