name,N,chi2,chi2N,huber_mond,medabs_mond
CamB,8,32.45255533899318,4.056569417374147,1.7915645108225822,2.1041920113645025
D631-7,16,23.772716153708874,1.4857947596068046,0.6981973691042778,0.9548819043805422
DDO064,13,4.456108542174413,0.34277758016726256,0.17138879008363128,0.5237146385811373
DDO154,12,4.728236281859814,0.39401969015498445,0.19700984507749222,0.4228175046158986
DDO161,31,101.2892519899283,3.2673952254815584,1.4880614445856197,1.7337883889959707
DDO168,9,7.413550453842154,0.8237278282046838,0.4107534092096496,0.7963304852893955
DDO170,8,17.06212988091263,2.1327662351140786,1.0420697171537614,1.4530285443801123
ESO079-G014,13,29.36653702971706,2.258964386901312,1.0250519472784967,1.370162536873243
ESO116-G012,14,8.9218944043628,0.6372781717402,0.31328187477039193,0.36844188329808036
ESO444-G084,7,2.8736961206656875,0.41052801723795534,0.20526400861897767,0.4701861974824486
ESO563-G021,27,22.750711859343518,0.8426189577534636,0.3790071818210667,0.6316220426954784
F563-1,17,8.289365177427081,0.48760971631924005,0.24142274430600938,0.42631472548789756
F563-V2,9,5.663635742705744,0.6292928603006382,0.312802230501755,0.5912844221655219
F565-V2,7,0.866157355011649,0.12373676500166415,0.06186838250083208,0.20343541228064332
F568-1,10,9.248428038005713,0.9248428038005713,0.4614785924903554,0.9213349531070671
F568-3,16,12.700558238216665,0.7937848898885416,0.3921830104029622,0.756676168798468
F568-V1,14,9.043039454612192,0.6459313896151565,0.32292692306066967,0.6528837791773089
F571-8,12,113.03544898839975,9.419620749033312,2.4337521233059616,1.4378149640206246
F571-V1,7,6.757363617287205,0.9653376596124579,0.48266882980622894,0.9773465918772994
F574-1,12,6.401886579786217,0.533490548315518,0.266721011383055,0.5802325923782736
F579-V1,13,10.804585155738232,0.8311219350567871,0.41539432585575664,0.7417996410903126
F583-1,23,9.304656465102434,0.40455028109141017,0.20214455501726264,0.25167083120082306
F583-4,10,16.8738374848216,1.6873837484821599,0.8402630417667893,1.3510985224296859
IC2574,33,95.91473361801059,2.9065070793336543,1.35869096429424,1.6390467288559987
IC4202,30,107.47749919036086,3.582583306345362,1.5029056262839702,1.829870395040048
KK98-251,14,20.828669912393078,1.4877621365995055,0.7432376239552024,1.2499157846418067
NGC0024,27,4.905537938204056,0.18168659030385392,0.09084329515192696,0.3738171046728817
