cohort,kernel,N_ilg,median_chi2N_ilg,mean_chi2N_ilg,median_huber_ilg,median_medabs_ilg,policy
Q1,w_g,156,3.2155107052362633,6.283573000670846,1.381026364970497,1.6773156545147228,"pure-global (no per-galaxy tuning); kernel=w_g; analytic n(r) with global disc-weight normalization; global M/L=1.0; ξ_threads: f_gas discretized by global 5-tiles; ζ with h_z/R_d=0.25; errors σ0, fractional floor, beam-proxy/cat-beam when available, asymmetry, turbulence; inner-beam mask uses catalog beam when available, else r>=0.3 R_d"
FULL,w_g,171,2.8372529229774828,5.896615074293397,1.2470765476093912,1.5814481517690608,"pure-global (no per-galaxy tuning); kernel=w_g; analytic n(r) with global disc-weight normalization; global M/L=1.0; ξ_threads: f_gas discretized by global 5-tiles; ζ with h_z/R_d=0.25; errors σ0, fractional floor, beam-proxy/cat-beam when available, asymmetry, turbulence; inner-beam mask uses catalog beam when available, else r>=0.3 R_d"
