name,N,chi2,chi2N,huber_ilg,medabs_ilg
CamB,8,0.7417372804352441,0.09271716005440551,0.04635858002720276,0.20015295075991751
D631-7,16,45.396046767639724,2.8372529229774828,1.245717101476251,1.6916377470794135
DDO064,13,30.551987579479707,2.350152890729208,1.1022306070528018,1.6661798819945766
DDO154,12,43.622716419427725,3.6352263682856436,1.59264631913304,2.085590245699578
DDO161,31,13.840396750928802,0.4464644113202839,0.22323220566014196,0.6430706079389246
DDO168,9,27.672193675483467,3.0746881861648294,1.3829300392594766,1.7928305477275064
DDO170,8,9.851723388839213,1.2314654236049016,0.6122019472125302,1.0217691588366955
ESO079-G014,13,23.223819306790656,1.7864476389838966,0.7710865718914762,0.3373706290442192
ESO116-G012,14,34.67670812781926,2.4769077234156613,1.196868429544121,1.5814481517690608
ESO444-G084,7,47.65286096318881,6.807551566169829,2.48761740501244,2.811897577175924
ESO563-G021,27,192.3289703031687,7.123295196413655,2.2768364078135295,2.043342491148375
F563-1,17,78.21450306111065,4.600853121241803,1.846928791375781,2.2077636929786943
F563-V2,9,41.85288765611045,4.650320850678939,1.7991148767519272,2.25472413218033
F565-V2,7,31.8025816109605,4.543225944422929,1.8619229744696408,2.3227617321686753
F568-1,10,50.95836835471234,5.095836835471234,2.045032609359879,2.1700708022229165
F568-3,16,23.109494073078114,1.4443433795673821,0.690486953598898,0.9667047037450771
F568-V1,14,73.44661785150065,5.246186989392903,1.9731603650930452,2.0254667434130442
F571-8,12,30.425398959853503,2.5354499133211252,1.111474520434445,1.3702064235236806
F571-V1,7,9.74978373186222,1.3928262474088886,0.6943575271670979,1.104567588484212
F574-1,12,26.061098510789577,2.1717582092324648,0.9976632987900285,1.3960744623765964
F579-V1,13,31.73972843021756,2.441517571555197,0.9736020808374052,0.8378750592128775
F583-1,23,87.45081798239887,3.802209477495603,1.5824249986794774,1.925101360303805
F583-4,10,10.557364697369957,1.0557364697369958,0.5274813529665194,1.0057350839466812
IC2574,33,18.417948729721644,0.5581196584764134,0.2790598292382067,0.71137051464162
IC4202,30,424.9547756549037,14.16515918849679,3.820016851631806,3.662861435959765
KK98-251,14,13.387856231300411,0.9562754450928865,0.47810842058509684,0.9204371492020718
NGC0024,27,174.55399918726943,6.46496293286183,2.467474322409557,2.6185413300764115
NGC0055,19,3.2983062614016663,0.17359506638956138,0.08679753319478069,0.3308083833332496
NGC0100,20,24.86962507798414,1.243481253899207,0.6207407740433375,1.1191116518300357
NGC0247,25,23.94256580351905,0.9577026321407619,0.4396146422417463,0.32854463750427687
NGC0289,28,98.30900501782102,3.511035893493608,1.2139043649906829,0.917320368901479
NGC0300,25,58.40174758579161,2.3360699034316643,1.1130558207621766,1.4832051354736582
NGC0801,13,253.18961475378248,19.476124211829422,4.021473778208779,3.554450945181122
NGC0891,18,497.4773416488473,27.637630091602627,6.006010106001413,5.508384985773292
NGC1003,36,63.947071762577615,1.7763075489604894,0.7804537959076073,0.6685125773374665
NGC1090,22,236.48547138283018,10.749339608310462,3.2263978905607713,3.146328762429823
NGC1705,14,103.83021791560975,7.416444136829268,2.734513533119442,2.8365481963491046
NGC2366,25,43.52029905429514,1.7408119621718054,0.8486741217270509,1.426599142540369
NGC2403,71,82.15065165010778,1.157051431691659,0.5592942712441089,0.7332559677983868
NGC2683,11,78.43696575477378,7.13063325043398,2.3479410337964803,2.610432854273223
NGC2841,50,158.37630656103354,3.167526131220671,1.2765993822184625,1.5970184341345783
NGC2903,33,257.146182108365,7.792308548738333,2.5162048893885953,2.5508018963309467
NGC2915,30,249.84774654088324,8.328258218029442,2.827500488253393,3.144775894470712
NGC2955,23,592.5031690862226,25.761007351574893,5.423724795544303,4.933514325443909
NGC2976,25,37.464765844758176,1.498590633790327,0.7427121448172478,1.2981237171277007
NGC2998,11,111.17333736601339,10.106667033273943,2.9160404171001626,2.6316400078290685
NGC3109,24,116.44522254880764,4.851884272866985,1.964663806979104,2.3207104346517724
NGC3198,41,75.49420882585063,1.841322166484162,0.7980254555080324,0.7945147227142861
NGC3521,40,176.49878578254237,4.41246964456356,1.6904552825136618,2.2883142309270146
NGC3726,12,215.9944743457036,17.999539528808633,4.1972110378281,4.433436831759234
