name,N,chi2,chi2N,huber_ilg,medabs_ilg
CamB,8,0.8231688507471963,0.10289610634339953,0.051448053171699766,0.1746174714426147
D631-7,16,48.766018091777646,3.047876130736103,1.3181783341153972,1.7572356278855554
DDO064,13,32.03204594331481,2.4640035341011393,1.1469281980547572,1.7112985526203859
DDO154,12,46.158201948028854,3.8465168290024043,1.6613945603671854,2.1490007413126335
DDO161,31,17.741687207766837,0.5723124905731238,0.2861562452865619,0.7296625446726906
DDO168,9,29.35582528570638,3.261758365078487,1.4495634074287607,1.8425135439543512
DDO170,8,11.434819807450342,1.4293524759312928,0.7075259679884118,1.1049104497367037
ESO079-G014,13,13.865588727147983,1.0665837482421525,0.5129225925232057,0.34981154634071404
ESO116-G012,14,28.814905101538912,2.0582075072527792,1.016304312045388,1.4321474092133772
ESO444-G084,7,49.10140772057942,7.014486817225631,2.538335894076943,2.8525646785027994
ESO563-G021,27,189.79900783355902,7.029592882724408,2.2486276966709493,2.0117898333573736
F563-1,17,69.28259476978734,4.075446751163961,1.7026509226748612,2.038623010515837
F563-V2,9,36.546432695379806,4.06071474393109,1.6480305460578477,2.0318189296334106
F565-V2,7,28.589018261607123,4.084145465943875,1.7310820227530042,2.2153759109240894
F568-1,10,43.54432430689101,4.354432430689101,1.8266928448595077,2.012967524504041
F568-3,16,21.454667005101093,1.3409166878188183,0.6519845631685257,0.9731094274475482
F568-V1,14,61.99554938228525,4.428253527306089,1.770035228580068,1.8964390915301075
F571-8,12,31.73534502253368,2.64461208521114,1.1421295996222578,1.3903848285391467
F571-V1,7,9.419734996036105,1.3456764280051579,0.6718223546225724,1.1059248512900175
F574-1,12,23.039060833871027,1.9199217361559189,0.9036132129909694,1.304871052715423
F579-V1,13,27.44628089345965,2.1112523764199733,0.8744960385853003,0.8133903399079335
F583-1,23,80.24807589599828,3.4890467780868817,1.494591135607106,1.865860236032253
F583-4,10,12.04143777395597,1.204143777395597,0.6012857696040144,1.0756927503283085
IC2574,33,22.430023307569506,0.6796976759869547,0.33984883799347737,0.8093719564217629
IC4202,30,417.7664756485306,13.925549188284354,3.775186385314518,3.6235617595491663
KK98-251,14,14.517549471097082,1.0369678193640772,0.5182785438784088,0.9601686828917713
NGC0024,27,180.82553431231287,6.697242011567143,2.529928100193109,2.6637481503986957
NGC0055,19,2.284179525667652,0.12021997503513958,0.06010998751756979,0.34310149748850705
NGC0100,20,28.48447865186102,1.424223932593051,0.7091853526207204,1.2008099068761462
NGC0247,25,22.250068776772412,0.8900027510708965,0.41662159410653793,0.38862762607888235
NGC0289,28,94.13339899322256,3.3619071069008055,1.1778266474981465,0.9322524466243525
NGC0300,25,52.123131960658,2.08492527842632,1.0124857684915647,1.4320994675565069
NGC0801,13,249.03800971161436,19.156769977816488,3.976166386794318,3.4761711646842373
NGC0891,18,493.49269585382723,27.416260880768178,5.9789818718795456,5.485160857845727
NGC1003,36,73.22332370876849,2.0339812141324582,0.868731617160898,0.71919524879517
NGC1090,22,225.34582636504254,10.242992107501934,3.117523485851906,3.0455657304643804
NGC1705,14,129.84383496300774,9.274559640214838,3.15744727886067,3.177415623368284
NGC2366,25,47.41761627367048,1.8967046509468193,0.917109900551215,1.4732870273642713
NGC2403,71,92.18828978205649,1.2984266166486829,0.6232484638692856,0.7922062683346135
NGC2683,11,75.03930491071507,6.821754991883188,2.262989788699557,2.5244132846633063
NGC2841,50,159.25861680751956,3.185172336150391,1.2854964715254777,1.6221747357752843
NGC2903,33,249.43182224355334,7.558540067986465,2.456127343839523,2.469760766830823
NGC2915,30,260.9560650392779,8.698535501309264,2.907544959612761,3.216133477710264
NGC2955,23,590.5478599658093,25.675993911556926,5.412107507449632,4.912464625514828
NGC2976,25,39.986749184789915,1.5994699673915966,0.790110565584164,1.3424277419864228
NGC2998,11,108.05514534074861,9.823195030977146,2.8580332726920923,2.552480251241304
NGC3109,24,122.43855394940292,5.1016064145584545,2.0355980633774173,2.3770470819286302
NGC3198,41,71.02898635003345,1.7324143012203281,0.7638887650897487,0.7969112523762035
NGC3521,40,173.97204579809411,4.349301144952353,1.674150184233325,2.2788320124247736
NGC3726,12,209.42061537660297,17.45171794805025,4.104143172215901,4.376912003362627
NGC3741,21,106.00934769085364,5.048064175754935,2.003181904518262,2.358084109154005
NGC3769,12,19.412143165373053,1.617678597114421,0.7912045965287673,1.3125676160166648
NGC3877,12,201.87184318483446,16.822653598736206,3.6973583572029054,3.8038537781115114
NGC3893,10,49.50258021033053,4.9502580210330525,1.9608011985313953,2.1627796586883976
NGC3917,16,25.8007265781615,1.6125454111350936,0.7854743277944811,1.2091572468096605
NGC3949,7,18.64056431914657,2.6629377598780812,1.1892746290297682,1.8835476591626283
NGC3953,8,180.34328758058442,22.542910947573052,4.975341216055003,5.232796238628875
NGC3972,10,8.977662346597862,0.8977662346597862,0.43955921740761345,0.6442202922717783
NGC3992,9,92.53292780496655,10.28143642277406,3.0809931183211168,2.9839185053722876
NGC4010,11,9.716688384620156,0.8833353076927414,0.4410106342620583,0.8770055095224498
NGC4013,36,434.8379096333809,12.078830823149469,3.220968302030357,3.3126883589883613
NGC4051,7,125.09783003540733,17.87111857648676,3.971185788996647,3.856935628151976
NGC4085,7,19.718721246109254,2.816960178015608,1.2600802753286457,1.6016965328612343
NGC4088,12,485.5492285847131,40.46243571539276,7.088416186768499,6.760218968148866
NGC4100,24,139.8973237738453,5.8290551572435545,2.1543732689782966,2.428275539410576
NGC4138,7,15.706841526444528,2.24383450377779,1.01988192209865,1.3771544277375969
