cohort,kernel,N_ilg,median_chi2N_ilg,mean_chi2N_ilg,median_huber_ilg,median_medabs_ilg,policy
Q1,w_t,156,3.204214462163585,6.192851528339675,1.3131029061822623,1.6916360920910913,"pure-global (no per-galaxy tuning); kernel=w_t; analytic n(r) with global disc-weight normalization; global M/L=1.0; ξ_threads: f_gas discretized by global 5-tiles; ζ with h_z/R_d=0.25; errors σ0, fractional floor, beam-proxy/cat-beam when available, asymmetry, turbulence; inner-beam mask uses catalog beam when available, else r>=0.3 R_d"
FULL,w_g,171,2.649845001813846,5.803326060949977,1.2172411300671615,1.558492563904176,"pure-global (no per-galaxy tuning); kernel=w_t; analytic n(r) with global disc-weight normalization; global M/L=1.0; ξ_threads: f_gas discretized by global 5-tiles; ζ with h_z/R_d=0.25; errors σ0, fractional floor, beam-proxy/cat-beam when available, asymmetry, turbulence; inner-beam mask uses catalog beam when available, else r>=0.3 R_d"
