g_bar,g_obs
1.3017415615276922e-11,5.926780068063283e-11
1.2714872887075918e-11,5.6584556309134837e-11
1.1618828405561113e-11,4.9387941249805886e-11
1.3879138762871746e-11,1.8781774321307693e-11
1.4175398829610288e-11,2.2929071063024176e-11
1.5468926738065152e-11,3.2866111517785126e-11
1.569141067185137e-11,4.2058327932598835e-11
1.6082214609758353e-11,4.116427966071518e-11
1.61771716753001e-11,4.7052127012901434e-11
1.551751599087041e-11,4.7714009974921813e-11
1.4540768400533601e-11,4.6302304117251e-11
1.4394834773595997e-11,4.394885273970544e-11
1.4162938191289734e-11,4.113587974113449e-11
1.1911547363848077e-11,3.2272795254000696e-11
1.1467559906731386e-11,3.028951760448271e-11
1.0268868472701112e-11,2.7569420834060787e-11
8.872393664083252e-12,2.6462058183707564e-11
7.978007694115408e-12,2.7828351782567648e-11
7.063117044429723e-12,2.5952361556766825e-11
2.328827015389347e-11,5.886864681393278e-11
2.021644980640444e-11,7.934609568439767e-11
1.6260475848072998e-11,8.584849875349472e-11
1.571738216454095e-11,7.973723973202565e-11
1.524192150597597e-11,7.535908604500444e-11
1.371953508270445e-11,7.42563857053911e-11
1.1963829063716887e-11,6.924716889265254e-11
1.1251098205605962e-11,6.465185515230071e-11
1.0387795385333692e-11,5.5614499055742546e-11
9.913684290296122e-12,4.9510460584637065e-11
9.039283142507384e-12,4.436163318211277e-11
8.63459463820413e-12,4.1075586279734046e-11
7.788837052831553e-12,3.5095154620417695e-11
4.402248604845994e-12,2.559268083147907e-11
3.053452731109893e-10,5.842140684979311e-11
2.638939376958274e-10,7.777666785239183e-11
1.8256779335723564e-10,6.640553072299376e-11
1.0896783014815596e-10,6.886171984506172e-11
9.26426059658399e-11,6.503521621797706e-11
5.801827214538913e-11,7.48969784418983e-11
4.4973436129960744e-11,7.472075025732911e-11
3.563168917650379e-11,7.136394444898189e-11
2.657266306777279e-11,6.900971773158379e-11
1.6714981185994345e-11,6.329799759519706e-11
1.2453853205116974e-11,5.7218592539396166e-11
6.667854411479705e-12,4.321143302498786e-11
1.0452746065772637e-11,1.7016468085813516e-11
1.2470977176607357e-11,2.7708774578909742e-11
8.544145585274725e-12,2.7940102426828847e-11
7.167783188693611e-12,2.4694823791665487e-11
6.3086276400257106e-12,2.2690585919685076e-11
4.988229085261941e-12,1.974970791567962e-11
3.662333203143442e-12,1.6784505209264754e-11
2.3375454006425727e-11,5.080583555108176e-11
1.7846387351840947e-11,5.525502957763959e-11
1.5343577323672416e-11,5.289904261102733e-11
1.4044810217980748e-11,4.722293605237856e-11
1.3233917920856877e-11,4.238751003688057e-11
1.1984381995100271e-11,3.932768899123472e-11
1.1247319843258382e-11,3.637116875679823e-11
1.0091608929666452e-11,3.368928533024885e-11
9.716783841265027e-12,3.140252971060599e-11
9.484397232981978e-12,2.9315447141775135e-11
9.178726232191308e-12,2.7187434779265572e-11
8.79609012539991e-12,2.556370809287206e-11
3.692294805154727e-11,1.5295960250594078e-10
3.664508420538558e-11,1.3627727114963467e-10
3.2787783082161146e-11,1.0868894507681211e-10
2.786548099772338e-11,8.475829635907406e-11
2.7969179580574855e-11,7.537100995102422e-11
2.7300907665094467e-11,6.398873761770089e-11
2.6151366009827964e-11,5.980458912032289e-11
2.4439743191776935e-11,5.320126522281657e-11
2.248728255300942e-11,4.9510460584637065e-11
2.1133223856435744e-11,4.517160185313587e-11
1.8154035319310347e-11,3.881361044825599e-11
1.5117874016124176e-11,3.449039093886793e-11
1.0971299656119989e-11,2.777887027464231e-11
7.367251348780838e-12,4.818156567994545e-12
7.82333044485061e-12,1.1023323891150318e-11
8.097091040447076e-12,1.4668306365075485e-11
7.24055150210106e-12,2.0090732339598184e-11
6.1779884064232734e-12,1.8781774321307693e-11
5.5094016768180906e-12,2.4527790078093154e-11
5.462004079308032e-12,2.691164959473449e-11
5.397400503161343e-12,2.5605094891330415e-11
5.41144398218803e-12,2.7939811427257337e-11
5.541509761945701e-12,2.931030573510767e-11
5.30079432771769e-12,2.9620314373117435e-11
5.1009741921478336e-12,3.0455388876652505e-11
5.057786623282824e-12,2.943091335936562e-11
4.979965090378342e-12,3.019573351051372e-11
4.8692506180840605e-12,3.0506288855284316e-11
4.7804839205572235e-12,2.8905671103010623e-11
4.718020367875294e-12,2.8713928778524404e-11
4.6576194704626015e-12,2.6416193535446797e-11
4.644367444589394e-12,2.7636310044622307e-11
4.660639962612805e-12,2.624956441312199e-11
4.693202695391648e-12,2.259204394654816e-11
3.898913312249201e-12,1.5797640021973912e-11
3.699344896883835e-12,1.4670945802134623e-11
1.781951734748903e-11,3.743104787441931e-11
1.779018313500946e-11,3.0454964555591935e-11
1.2697878503313185e-11,2.5005951829857025e-11
1.1627995917789648e-11,2.4372881608450475e-11
1.059052559948153e-11,2.3175891121192478e-11
1.0483907522314124e-11,2.5065290067568002e-11
9.001168337281522e-12,2.1228165932796705e-11
8.59698654977668e-12,2.2067773631006922e-11
8.365843351134923e-12,2.171114500058655e-11
7.11674787771137e-12,2.1718553723306375e-11
4.086369114620642e-12,4.7301906743527656e-12
4.384920997142934e-12,6.1376685257364016e-12
4.642859849992231e-12,6.555923184500462e-12
5.004236998342328e-12,6.383831015088404e-12
4.96931956430285e-12,9.681669338608999e-12
5.043484172671013e-12,9.75042252805205e-12
4.932156125345723e-12,1.0064649073964198e-11
4.793535269039402e-12,1.1274248952809658e-11
4.60621993564732e-12,1.1508220836508836e-11
4.209701178819778e-12,1.0728486101136782e-11
3.9034487082202975e-12,1.2383694232666899e-11
3.927773923732501e-12,9.803550184233506e-12
4.389896234679125e-12,1.1394956307464409e-11
4.924776248908695e-12,1.0027222379929623e-11
5.079925596443617e-12,1.105825704795852e-11
5.0010871349113456e-12,1.1023548001049399e-11
5.107318489680794e-12,1.1246611229268025e-11
5.142218437184844e-12,1.1535371825643664e-11
5.205268459641502e-12,1.2428591246876028e-11
5.226783778373674e-12,1.3346305005737658e-11
4.9977127138192695e-12,1.3377421671953535e-11
4.8431654085237275e-12,1.3308626874663406e-11
4.702809931271085e-12,1.3701977677353837e-11
4.6841232751404195e-12,1.4588058976020737e-11
4.639891779050794e-12,1.3365962997098256e-11
4.554783086863451e-12,1.1453484946680022e-11
4.3722570354075195e-12,1.5481243477281922e-11
4.253503611564952e-12,1.3462909275752307e-11
4.169296646321922e-12,1.3250197631273457e-11
4.177118066735114e-12,1.504835787731097e-11
4.296213476346123e-12,1.4245339227562044e-11
4.17309419141244e-12,1.4648386156420886e-11
4.158311524502229e-12,1.4432314700957687e-11
4.765746949042696e-10,1.8158825532475806e-10
3.6591629206620037e-10,2.519468526313828e-10
3.1552772094473215e-10,3.024192556010402e-10
2.865554519558423e-10,2.8510397498626405e-10
2.513508395687268e-10,2.573558003888529e-10
2.219821083227128e-10,2.5013928210026035e-10
2.0774947365723093e-10,2.4422762173621715e-10
2.0438672886993551e-10,2.276760021042251e-10
2.0122117841282767e-10,2.2460444920740167e-10
1.9538846986047249e-10,2.075116501558498e-10
1.8683673020546415e-10,1.807589972861309e-10
1.763967502084821e-10,1.6937330700205718e-10
1.6517340700319979e-10,1.5831160671439102e-10
1.5475565699870224e-10,1.5725622245170652e-10
1.4189772595879636e-10,1.4108548447746316e-10
1.3131624588399729e-10,1.4353475814737736e-10
1.2528320674367025e-10,1.3007071223509566e-10
1.2067095141761707e-10,1.2878696763106913e-10
1.1208602557376373e-10,1.2653972368813588e-10
1.042211200626433e-10,1.21616564065788e-10
9.860617711377167e-11,1.1467749087560118e-10
9.151733563281385e-11,1.052617652645055e-10
8.510031275030885e-11,1.0600324217820166e-10
7.787777543250467e-11,9.043505146057661e-11
7.065896575986307e-11,9.668458317453406e-11
6.365188808018603e-11,8.155426354432463e-11
5.949692496266448e-11,8.456845783200428e-11
5.69355183908065e-11,8.114706653539997e-11
5.060182583233237e-11,7.333261007076666e-11
4.7195358412759576e-11,7.633051994685177e-11
2.0918467350584067e-12,3.697706400265557e-12
2.619640481631818e-12,5.1957112483087176e-12
3.587395561472036e-12,6.6249496417999346e-12
4.309274861381147e-12,8.209476488802477e-12
5.121643721116165e-12,9.274625835094881e-12
5.866642798904521e-12,1.0141795413208455e-11
6.3299347282659e-12,1.0999907415980002e-11
6.600924247990719e-12,1.228808137014914e-11
6.808582269514235e-12,1.4041093309620343e-11
6.897346610567608e-12,1.5740826466685182e-11
6.8136542103706684e-12,1.671752795273361e-11
6.271409301908962e-12,1.460687921850054e-11
5.737188644752459e-12,1.3904394223420837e-11
4.742748349238755e-12,1.2109102428984655e-11
6.662928604801879e-11,9.820871452471024e-11
7.009116439835815e-11,1.2697726890857155e-10
6.971857785158781e-11,1.703256642903435e-10
6.995948573330296e-11,1.76015484051777e-10
7.224100110556213e-11,1.970801723151996e-10
7.533357974184489e-11,1.9702419529055955e-10
7.759086861981455e-11,1.8472359343674476e-10
7.900786291551035e-11,1.7947748586115406e-10
8.068148746354505e-11,1.7356205443940375e-10
8.210263508880687e-11,1.720570693266458e-10
8.413084593018163e-11,1.6955387013714946e-10
8.465207041742583e-11,1.724974219135312e-10
8.471149593991842e-11,1.627417940604628e-10
8.323432886872613e-11,1.6281432274789368e-10
8.150146922599274e-11,1.5798844977995542e-10
7.8560514427982e-11,1.6364225534672716e-10
7.567801429445109e-11,1.5182925159511837e-10
7.289453891289755e-11,1.5416069679646835e-10
7.053241825503653e-11,1.4978037013033773e-10
6.826119678505783e-11,1.5204838349818853e-10
6.577821734937053e-11,1.4606222666755118e-10
6.324666356888688e-11,1.373946856772521e-10
6.078330492077357e-11,1.3441958541144204e-10
1.56688210020891e-11,4.957370100494912e-11
1.0839460018152572e-11,4.2885267025290706e-11
7.745602188981455e-12,3.8849319834439964e-11
5.822651859357398e-12,3.4790889502409774e-11
2.3722751318569576e-11,2.4469410766693543e-11
2.2426505327200066e-11,2.6493610948678598e-11
2.1132563082927104e-11,2.972408704105497e-11
1.989780403623265e-11,3.144855235195707e-11
1.8450503093267937e-11,3.096732764617292e-11
1.7096810514055997e-11,3.0686092873848235e-11
1.583507845666359e-11,2.905651455242864e-11
1.4767791939703796e-11,2.9885072369842305e-11
1.3949338765431664e-11,2.985320847597282e-11
1.3245849555840345e-11,2.8857342643712326e-11
1.26728656284682e-11,2.751228462763602e-11
1.1969274922366637e-11,2.5600150024312095e-11
1.1207427802849211e-11,2.486176979539686e-11
1.0471810030018349e-11,2.2658727224486428e-11
9.6734236942197e-12,2.1387377823655512e-11
9.016027119653967e-12,2.0650000166746523e-11
8.583611286444403e-12,1.9561944137757783e-11
8.313485864488741e-12,1.9203218619889017e-11
8.241837929958474e-12,1.7959842538585247e-11
2.6709581372631894e-11,1.8785163477885165e-11
3.429779368254953e-11,3.0685564541125425e-11
3.5868397347322244e-11,3.715888757097381e-11
3.4716285980747054e-11,3.93596573036372e-11
3.283577291611259e-11,3.9766404246913833e-11
3.13890612759699e-11,4.1805067307335614e-11
2.972310813217967e-11,4.3683509378328095e-11
2.6533925242698988e-11,4.4627967341702793e-11
2.328441586949834e-11,4.3239798584957776e-11
2.0718896166538357e-11,4.09475346267134e-11
1.8556101675629408e-11,3.859463818377009e-11
1.626187308842424e-11,3.503229070732567e-11
1.4262705052562473e-11,3.349879219937548e-11
1.1071599257052029e-11,3.1479161612906736e-11
1.0211030253305938e-11,3.084089436163318e-11
9.264646142251288e-12,3.0102841354845306e-11
8.488054138395998e-12,2.939528922852939e-11
7.816764729441405e-12,2.8839922229423203e-11
7.254629324775334e-12,2.8322352802547994e-11
6.99784049216972e-12,2.8016809870341954e-11
1.8028630601836382e-11,4.4460456559980355e-11
1.844176249830442e-11,5.26429938657704e-11
1.8077210100573678e-11,4.9775089412160056e-11
1.809220261408968e-11,4.571597637899873e-11
1.788256109992763e-11,4.1876808243268565e-11
1.7607091678157326e-11,3.822133638481099e-11
1.7165813684681734e-11,3.580012160004277e-11
1.649849361669321e-11,3.3970479464761106e-11
1.5911816770594316e-11,3.3730415039148025e-11
1.5409453760014764e-11,3.323688925718666e-11
1.501194327235371e-11,3.232212113036214e-11
1.4740022411972337e-11,3.264716033253032e-11
1.438572969343905e-11,3.303277944685235e-11
1.4082504552405672e-11,3.258338308023812e-11
1.3883764612118535e-11,3.2605817761018565e-11
1.360403754229461e-11,3.2379526835463876e-11
1.3248508542029746e-11,3.231254699906049e-11
1.2830557476262868e-11,3.1949661139045024e-11
1.230987818237086e-11,3.101646602699029e-11
1.1676349216601565e-11,3.01738671594472e-11
1.0993365472502319e-11,2.88577210959495e-11
1.0241701484879867e-11,2.7673012174117335e-11
9.419091147731403e-12,2.701008286681885e-11
8.670898668343093e-12,2.697823006712639e-11
7.987563527346734e-12,2.5515684713588722e-11
6.928883581767121e-10,5.810326204363793e-10
6.600408617000484e-10,4.839572467569875e-10
4.367865411198813e-10,2.868164636864602e-10
3.6570790427498136e-10,2.5672241424833774e-10
2.934249226292566e-10,1.8275966194385863e-10
2.2746234130474974e-10,1.416499226966968e-10
1.6815224891721334e-10,1.3259694996194516e-10
9.071180437520636e-11,1.0462649335403955e-10
5.755344100415931e-11,7.996987369206308e-11
3.9042023296899136e-11,5.761129667480931e-11
2.949078899387851e-11,4.261565874328772e-11
2.390904262979764e-11,3.477044306597126e-11
1.944346670525832e-11,3.181420634371323e-11
1.6080171684686166e-11,3.3768506165863627e-11
1.4070843841745809e-11,3.1934497228143946e-11
1.263771546787136e-11,2.986107577412236e-11
1.1150773321239343e-11,2.8054988840004435e-11
9.961952414354619e-12,2.6301484377518565e-11
8.796242299891709e-12,2.446133950425097e-11
7.805275105461301e-12,2.2409878052913594e-11
6.942988236784818e-12,2.033649172441298e-11
6.236330067290359e-12,1.8727778153522405e-11
5.655835839135166e-12,1.713102174175888e-11
5.074136485408025e-12,1.5493511488221385e-11
4.515480212405662e-12,1.3047477682771308e-11
4.0252644318133505e-12,1.2431898207035825e-11
3.639980181169445e-12,1.3121761047379005e-11
3.2967079090810343e-12,1.2404527285677104e-11
3.53781487469109e-11,3.901383775006589e-11
3.3506395105028404e-11,5.1963564103541625e-11
3.146720033045373e-11,5.172615783438855e-11
3.053330516386352e-11,4.9355195125920377e-11
2.852561020357592e-11,5.126758415615112e-11
2.6048980743400034e-11,5.124026078903197e-11
2.338050986504412e-11,6.017052038085443e-11
2.1046015846390404e-11,5.617407202673681e-11
1.9151090900785417e-11,4.9645550032689914e-11
1.722502685214889e-11,4.3133902282854754e-11
1.5399807357286828e-11,3.881774453435758e-11
1.4026868196447596e-11,3.765414062414183e-11
1.3359228836253806e-11,3.9635480991452575e-11
1.2846612478504123e-11,3.7268636816545376e-11
1.2248161072219872e-11,3.4879639498740426e-11
1.1386706039492186e-11,3.269541622641224e-11
1.0268562727713345e-11,3.1770795736420886e-11
9.20462781546179e-12,3.024695766976978e-11
8.347025475508773e-12,3.1367215886233733e-11
7.62586782946237e-12,3.199297643828984e-11
6.8852285356591626e-12,3.010889962962674e-11
6.161674734175332e-12,2.78679140554503e-11
5.5468304457933265e-12,2.5366899120604283e-11
5.092993205379818e-12,2.465208201177551e-11
4.69853933016246e-12,2.4007409075430868e-11
9.344005184705123e-10,4.190139089685428e-10
9.220591027302788e-10,4.188477325223923e-10
8.93008175499623e-10,6.947934715039613e-10
8.317113467651377e-10,6.170368840491977e-10
7.302285587771756e-10,5.214531903611619e-10
2.2334478625636999e-10,1.6046454272455276e-10
1.1152295498816735e-10,9.294465180409012e-11
7.059860354254825e-11,6.372910600441416e-11
5.286824544102633e-11,5.042686436867886e-11
3.745769853094446e-11,4.011739194878464e-11
2.6204617627997415e-11,3.2401576920138e-11
1.9784938951470383e-11,2.86012109905744e-11
1.598264018670832e-11,2.5273487344730238e-11
2.8103570859984785e-09,1.9286257713657754e-09
1.5866472738395873e-09,5.148948532862539e-10
1.3091324280102095e-09,4.4950113215397296e-10
9.063542073664465e-10,3.864361524390339e-10
6.512910716328008e-10,3.131409401090313e-10
4.963563372379838e-10,2.6963905897172166e-10
3.984401840719304e-10,2.336097019539485e-10
3.2090524729614176e-10,2.0977027780721143e-10
2.733450424939609e-10,1.8807812407942024e-10
2.2389589826148518e-10,1.7161014267930159e-10
1.8967001288867013e-10,1.5693295942383502e-10
1.640439491066122e-10,1.4040790376506749e-10
1.3940779470928175e-10,1.2526943280899622e-10
1.2388978673759363e-10,1.1441211279622587e-10
1.0896473972960323e-10,1.0596466119392237e-10
9.578847151392626e-11,9.86210054117262e-11
8.48637001331628e-11,8.783247379664533e-11
7.597065706137672e-11,8.193712825365057e-11
8.427538302009071e-11,5.72650680492547e-11
6.564824081459694e-11,5.5153702826661346e-11
6.40083603370058e-11,5.728384025744742e-11
5.435002406439876e-11,5.2314091660165507e-11
4.704597517367625e-11,4.9427806392195665e-11
4.0122064816028346e-11,4.837268554979878e-11
3.048748731435193e-11,4.5837336128517327e-11
2.4807407813144406e-11,4.511301036941024e-11
2.0916791082570706e-11,4.368212882542877e-11
1.7714744377649155e-11,3.7246444826841284e-11
1.5044925279649354e-11,3.282182603249137e-11
1.2824188228864115e-11,3.034406334967552e-11
1.1134123314811847e-11,2.5814402819443566e-11
9.997734937360497e-12,2.43601346811547e-11
8.91794119797958e-12,2.290270356145868e-11
8.003165334275548e-12,2.2176730612622793e-11
7.28986401777971e-12,2.1128478442012212e-11
6.591924087613415e-12,2.109661914020307e-11
6.021082351390737e-12,2.1728832368567286e-11
5.589553009797568e-12,2.0616827417940604e-11
5.04345197696043e-12,2.009328386770837e-11
4.579183860694062e-12,2.0643257885217164e-11
4.061757620347843e-12,2.0086748191196626e-11
3.760291393715301e-12,1.82847735700138e-11
3.4702462918699862e-12,1.7206801372623727e-11
3.1782763988050116e-12,1.6602640996111174e-11
2.91012182920035e-12,1.6577412422826348e-11
2.6337772203179317e-12,1.6265177843654416e-11
2.5361854073037735e-12,1.6043098391659498e-11
2.3661810657375447e-12,1.5491636692696885e-11
2.2139615282156905e-12,1.50342532473987e-11
2.1948561761356875e-12,1.5353316251381247e-11
2.3598018014185953e-12,1.51867173950082e-11
2.3198384085130684e-12,1.4212618230764698e-11
2.4248024232822643e-12,1.4040443602807078e-11
2.5547096547987675e-12,1.4171570190688791e-11
2.6450342879131557e-10,1.3386442806221645e-10
1.8218529715717014e-10,1.3466220595190136e-10
1.5201518296075692e-10,1.5492998992853204e-10
1.3597942295643887e-10,1.350886292396583e-10
1.1729372433329024e-10,1.0798163776711821e-10
1.0198258094165574e-10,1.0769218730102949e-10
8.732124172937665e-11,8.40452199281166e-11
8.232615380372581e-11,8.898571907907134e-11
6.70939527952013e-11,7.203199899503513e-11
5.7410793511534595e-11,6.080997228389019e-11
4.921307392124204e-11,5.454708853232384e-11
4.229976471342456e-11,5.137728861881327e-11
