class,N,median_chi2N_ilg,median_huber_ilg,median_medabs_ilg,cohort
G0S0,84,1.7565931896887592,0.8481063975818169,1.2708731109309297,FULL
G0S1,87,6.132887545463054,2.068665933481039,2.2189938844874253,FULL
