removed,loo_median
CamB,3.78810334176407
D631-7,3.78810334176407
DDO064,3.78810334176407
DDO154,3.78810334176407
DDO161,3.78810334176407
DDO168,3.78810334176407
DDO170,3.78810334176407
ESO079-G014,3.775774670191412
ESO116-G012,3.78810334176407
ESO444-G084,3.775774670191412
ESO563-G021,3.775774670191412
F563-1,3.78810334176407
F563-V2,3.78810334176407
F565-V2,3.78810334176407
F568-1,3.775774670191412
F568-3,3.78810334176407
F568-V1,3.775774670191412
F571-8,3.78810334176407
F571-V1,3.78810334176407
F574-1,3.78810334176407
F579-V1,3.78810334176407
F583-1,3.78810334176407
F583-4,3.78810334176407
IC2574,3.78810334176407
IC4202,3.775774670191412
KK98-251,3.78810334176407
NGC0024,3.775774670191412
NGC0055,3.78810334176407
NGC0100,3.78810334176407
NGC0247,3.78810334176407
NGC0289,3.775774670191412
NGC0300,3.78810334176407
NGC0801,3.775774670191412
NGC0891,3.775774670191412
NGC1003,3.78810334176407
NGC1090,3.775774670191412
NGC1705,3.775774670191412
NGC2366,3.78810334176407
NGC2403,3.78810334176407
NGC2683,3.775774670191412
NGC2841,3.775774670191412
NGC2903,3.775774670191412
NGC2915,3.775774670191412
NGC2955,3.775774670191412
NGC2976,3.78810334176407
NGC2998,3.775774670191412
NGC3109,3.78810334176407
NGC3198,3.775774670191412
NGC3521,3.775774670191412
NGC3726,3.775774670191412
NGC3741,3.78810334176407
NGC3769,3.775774670191412
NGC3877,3.775774670191412
NGC3893,3.775774670191412
NGC3917,3.775774670191412
NGC3949,3.775774670191412
NGC3953,3.775774670191412
NGC3972,3.78810334176407
NGC3992,3.775774670191412
NGC4010,3.775774670191412
NGC4013,3.775774670191412
NGC4051,3.775774670191412
NGC4085,3.775774670191412
NGC4088,3.775774670191412
NGC4100,3.775774670191412
NGC4138,3.775774670191412
NGC4157,3.775774670191412
NGC4183,3.78810334176407
NGC4214,3.775774670191412
NGC4217,3.775774670191412
NGC4559,3.775774670191412
NGC5005,3.775774670191412
NGC5033,3.775774670191412
NGC5055,3.775774670191412
NGC5371,3.775774670191412
NGC5585,3.78810334176407
NGC5907,3.775774670191412
NGC5985,3.775774670191412
NGC6015,3.775774670191412
NGC6195,3.775774670191412
NGC6503,3.78810334176407
NGC6674,3.775774670191412
NGC6946,3.775774670191412
NGC7331,3.775774670191412
NGC7793,3.78810334176407
NGC7814,3.775774670191412
UGC00128,3.78810334176407
UGC00191,3.78810334176407
UGC00731,3.78810334176407
UGC01230,3.78810334176407
UGC01281,3.78810334176407
UGC02259,3.775774670191412
UGC02455,3.775774670191412
UGC02487,3.775774670191412
UGC02885,3.775774670191412
UGC02916,3.775774670191412
UGC02953,3.775774670191412
UGC03205,3.775774670191412
UGC03546,3.775774670191412
UGC03580,3.78810334176407
UGC04278,3.78810334176407
UGC04305,3.78810334176407
UGC04325,3.775774670191412
UGC04483,3.78810334176407
UGC04499,3.78810334176407
UGC05005,3.78810334176407
UGC05253,3.775774670191412
UGC05716,3.78810334176407
UGC05721,3.775774670191412
UGC05750,3.78810334176407
UGC05764,3.775774670191412
UGC05829,3.78810334176407
UGC05918,3.78810334176407
UGC05986,3.78810334176407
UGC06399,3.78810334176407
UGC06446,3.78810334176407
UGC06614,3.775774670191412
UGC06628,3.78810334176407
UGC06667,3.775774670191412
UGC06786,3.775774670191412
UGC06787,3.775774670191412
UGC06818,3.78810334176407
UGC06917,3.78810334176407
UGC06930,3.78810334176407
UGC06973,3.775774670191412
UGC06983,3.78810334176407
UGC07089,3.78810334176407
UGC07125,3.78810334176407
UGC07151,3.78810334176407
UGC07261,3.78810334176407
UGC07323,3.78810334176407
UGC07399,3.775774670191412
UGC07524,3.78810334176407
UGC07559,3.78810334176407
UGC07577,3.78810334176407
UGC07603,3.78810334176407
UGC07608,3.775774670191412
UGC07690,3.78810334176407
UGC07866,3.78810334176407
UGC08286,3.775774670191412
UGC08490,3.78810334176407
UGC08550,3.78810334176407
UGC08699,3.775774670191412
UGC08837,3.78810334176407
UGC09037,3.775774670191412
UGC09133,3.775774670191412
UGC10310,3.78810334176407
UGC11455,3.775774670191412
UGC11557,3.775774670191412
UGC11820,3.78810334176407
UGC11914,3.775774670191412
UGC12506,3.775774670191412
UGC12632,3.78810334176407
UGC12732,3.78810334176407
UGCA442,3.78810334176407
UGCA444,3.78810334176407
