class,N,median_chi2N_ilg,median_huber_ilg,median_medabs_ilg,cohort
G0S0,71,2.0582075072527792,0.96305669090463,1.4321474092133772,Q1
G0S1,85,6.187825686073356,2.0544380310185173,2.1627796586883976,Q1
